tf-idf,len,ner-total,postag-total,postag-N,postag-V,postag-A,topic_word_count,label
0.2521040405743588,2.3978952727983707,2.0,4.0,3.0,1.0,0.0,3.0,0.45454545454545453
0.2578766981331897,3.4657359027997265,3.0,18.0,8.0,10.0,0.0,13.0,0.24
0.27965519103264996,3.4965075614664802,1.0,18.0,8.0,9.0,1.0,7.0,0.16666666666666666
0.26040961356755,3.4657359027997265,2.0,18.0,10.0,7.0,1.0,14.0,0.4666666666666667
0.2987312493015893,2.6390573296152584,0.0,10.0,4.0,6.0,0.0,9.0,0.2857142857142857
0.25704779062333893,3.4657359027997265,2.0,22.0,14.0,8.0,0.0,20.0,0.36666666666666664
0.28131067885082833,3.332204510175204,0.0,20.0,7.0,12.0,1.0,13.0,0.3333333333333333
0.28175066284371797,3.1354942159291497,0.0,17.0,8.0,9.0,0.0,9.0,0.2727272727272727
0.24098096083891846,4.07753744390572,0.0,45.0,23.0,20.0,2.0,34.0,0.2608695652173913
0.2898833145437199,2.772588722239781,1.0,12.0,8.0,4.0,0.0,7.0,0.1875
0.2883415483165045,2.5649493574615367,2.0,9.0,4.0,5.0,0.0,3.0,0.15384615384615385
0.28655553933385697,3.091042453358316,1.0,14.0,10.0,4.0,0.0,15.0,0.21052631578947367
0.29204769550712784,2.9444389791664403,3.0,13.0,7.0,5.0,1.0,10.0,0.17647058823529413
0.27779057985897765,3.1780538303479458,0.0,19.0,8.0,10.0,1.0,12.0,0.25
0.23899718764735742,3.871201010907891,2.0,36.0,19.0,16.0,1.0,26.0,0.2
0.20818792207401873,2.6390573296152584,2.0,10.0,4.0,5.0,1.0,9.0,0.25
0.28655161592196954,2.5649493574615367,2.0,8.0,6.0,1.0,1.0,7.0,0.15384615384615385
0.27537452444062577,2.9444389791664403,0.0,15.0,8.0,7.0,0.0,14.0,0.23529411764705882
0.257184766632472,3.8066624897703196,1.0,32.0,17.0,13.0,2.0,31.0,0.20588235294117646
0.29660806323134625,2.995732273553991,0.0,15.0,7.0,5.0,3.0,10.0,0.47368421052631576
0.27741477134719456,3.1780538303479458,0.0,18.0,9.0,9.0,0.0,18.0,0.13636363636363635
0.27294390783061345,3.295836866004329,2.0,18.0,9.0,9.0,0.0,12.0,0.16666666666666666
0.27612671549342677,2.302585092994046,1.0,5.0,4.0,1.0,0.0,3.0,0.5
0.24560134365111624,3.7376696182833684,3.0,29.0,14.0,14.0,1.0,15.0,0.225
0.2494090332810986,2.302585092994046,2.0,5.0,2.0,3.0,0.0,1.0,0.2
0.2963678027935252,2.70805020110221,0.0,14.0,6.0,7.0,1.0,3.0,0.2
0.13766005145665505,1.0986122886681098,1.0,2.0,1.0,1.0,0.0,1.0,1.0
0.23755565933501083,2.6390573296152584,1.0,10.0,2.0,4.0,4.0,3.0,0.35714285714285715
0.14140101481951128,1.9459101490553132,0.0,3.0,2.0,1.0,0.0,1.0,0.0
0.25754051689600366,2.4849066497880004,1.0,9.0,4.0,4.0,1.0,5.0,0.2727272727272727
0.24255279138809888,2.833213344056216,1.0,7.0,1.0,6.0,0.0,5.0,0.2
0.21985306899123708,2.3978952727983707,2.0,5.0,3.0,2.0,0.0,4.0,0.3
0.2614405233186204,2.3978952727983707,1.0,8.0,6.0,2.0,0.0,3.0,0.36363636363636365
0.18808713578973463,2.3978952727983707,2.0,6.0,2.0,4.0,0.0,3.0,0.2727272727272727
0.27334104442373136,3.044522437723423,2.0,8.0,2.0,4.0,2.0,5.0,0.25
0.26995496166850047,3.044522437723423,1.0,13.0,6.0,6.0,1.0,4.0,0.25
0.19797674864398457,2.1972245773362196,0.0,7.0,2.0,4.0,1.0,4.0,0.3333333333333333
0.3053965846261859,2.8903717578961645,0.0,11.0,4.0,5.0,2.0,3.0,0.1111111111111111
